Date,Product_Line,Defect_Type,Shift,Inspector,Units_Inspected,Defects_Found,Pass,Defect_Rate_%
2023-01-01,Component X,No Defect,Afternoon,Inspector 1,97,0,1,0.0
2023-01-01,Assembly B,No Defect,Afternoon,Inspector 1,142,0,1,0.0
2023-01-02,Sub-System Z,No Defect,Morning,Inspector 4,222,0,1,0.0
2023-01-02,Assembly A,Surface Defect,Morning,Inspector 1,209,11,0,5.26
2023-01-03,Sub-System Z,No Defect,Afternoon,Inspector 2,205,0,1,0.0
2023-01-03,Sub-System Z,No Defect,Morning,Inspector 3,157,0,1,0.0
2023-01-03,Component X,Dimensional Error,Morning,Inspector 3,138,9,0,6.52
2023-01-04,Assembly B,Surface Defect,Morning,Inspector 3,253,2,0,0.79
2023-01-04,Component X,No Defect,Morning,Inspector 3,230,0,1,0.0
2023-01-04,Assembly B,Assembly Fault,Morning,Inspector 4,183,3,0,1.64
2023-01-05,Assembly A,No Defect,Afternoon,Inspector 4,288,0,1,0.0
2023-01-05,Component Y,No Defect,Night,Inspector 4,103,0,1,0.0
2023-01-07,Component Y,No Defect,Night,Inspector 1,212,0,1,0.0
2023-01-07,Assembly A,No Defect,Night,Inspector 1,187,0,1,0.0
2023-01-07,Assembly B,Dimensional Error,Night,Inspector 1,196,13,0,6.63
2023-01-07,Component X,No Defect,Afternoon,Inspector 2,71,0,1,0.0
2023-01-08,Sub-System Z,No Defect,Morning,Inspector 3,237,0,1,0.0
2023-01-08,Assembly B,No Defect,Morning,Inspector 1,253,0,1,0.0
2023-01-08,Component X,Surface Defect,Afternoon,Inspector 4,58,14,0,24.14
2023-01-08,Assembly B,Material Flaw,Night,Inspector 4,206,6,0,2.91
2023-01-08,Sub-System Z,No Defect,Afternoon,Inspector 1,177,0,1,0.0
2023-01-09,Assembly A,Assembly Fault,Night,Inspector 4,201,6,0,2.99
2023-01-09,Assembly A,No Defect,Morning,Inspector 1,198,0,1,0.0
2023-01-09,Assembly A,Surface Defect,Morning,Inspector 2,253,8,0,3.16
2023-01-10,Assembly B,No Defect,Afternoon,Inspector 4,201,0,1,0.0
2023-01-10,Component X,No Defect,Afternoon,Inspector 1,59,0,1,0.0
2023-01-11,Assembly A,Surface Defect,Night,Inspector 4,277,12,0,4.33
2023-01-11,Sub-System Z,Surface Defect,Afternoon,Inspector 1,180,4,0,2.22
2023-01-11,Component Y,No Defect,Morning,Inspector 3,270,0,1,0.0
2023-01-12,Component Y,Dimensional Error,Morning,Inspector 3,171,3,0,1.75
2023-01-12,Assembly A,No Defect,Afternoon,Inspector 2,75,0,1,0.0
2023-01-13,Assembly B,No Defect,Morning,Inspector 1,220,0,1,0.0
2023-01-14,Sub-System Z,Material Flaw,Morning,Inspector 1,100,11,0,11.0
2023-01-14,Component Y,Material Flaw,Night,Inspector 4,203,4,0,1.97
2023-01-14,Assembly A,No Defect,Morning,Inspector 4,124,0,1,0.0
2023-01-15,Component Y,No Defect,Morning,Inspector 3,249,0,1,0.0
2023-01-15,Assembly A,No Defect,Afternoon,Inspector 3,234,0,1,0.0
2023-01-15,Sub-System Z,Surface Defect,Night,Inspector 1,137,1,0,0.73
2023-01-16,Sub-System Z,No Defect,Morning,Inspector 4,173,0,1,0.0
2023-01-16,Assembly B,Surface Defect,Night,Inspector 4,201,12,0,5.97
2023-01-16,Sub-System Z,No Defect,Morning,Inspector 3,168,0,1,0.0
2023-01-16,Assembly A,No Defect,Night,Inspector 1,70,0,1,0.0
2023-01-18,Component Y,No Defect,Afternoon,Inspector 4,190,0,1,0.0
2023-01-18,Component Y,No Defect,Afternoon,Inspector 1,280,0,1,0.0
2023-01-18,Assembly B,Surface Defect,Afternoon,Inspector 4,254,7,0,2.76
2023-01-18,Assembly B,Material Flaw,Night,Inspector 4,249,13,0,5.22
2023-01-19,Assembly B,No Defect,Morning,Inspector 4,120,0,1,0.0
2023-01-19,Assembly A,No Defect,Night,Inspector 2,70,0,1,0.0
2023-01-19,Component X,No Defect,Morning,Inspector 3,202,0,1,0.0
2023-01-19,Assembly B,No Defect,Morning,Inspector 4,110,0,1,0.0
2023-01-19,Component X,No Defect,Morning,Inspector 4,213,0,1,0.0
2023-01-20,Assembly A,No Defect,Morning,Inspector 2,52,0,1,0.0
2023-01-20,Assembly B,No Defect,Night,Inspector 2,86,0,1,0.0
2023-01-21,Assembly B,Material Flaw,Night,Inspector 2,214,8,0,3.74
2023-01-21,Assembly B,Material Flaw,Night,Inspector 3,137,5,0,3.65
2023-01-21,Assembly B,No Defect,Night,Inspector 4,197,0,1,0.0
2023-01-21,Sub-System Z,No Defect,Morning,Inspector 4,74,0,1,0.0
2023-01-22,Sub-System Z,No Defect,Morning,Inspector 4,210,0,1,0.0
2023-01-22,Component X,Material Flaw,Morning,Inspector 2,285,8,0,2.81
2023-01-23,Component X,No Defect,Afternoon,Inspector 3,106,0,1,0.0
2023-01-23,Sub-System Z,Material Flaw,Afternoon,Inspector 4,122,12,0,9.84
2023-01-23,Sub-System Z,No Defect,Afternoon,Inspector 1,149,0,1,0.0
2023-01-23,Sub-System Z,No Defect,Night,Inspector 4,52,0,1,0.0
2023-01-24,Component Y,No Defect,Afternoon,Inspector 4,237,0,1,0.0
2023-01-25,Component Y,No Defect,Morning,Inspector 1,298,0,1,0.0
2023-01-25,Component X,No Defect,Morning,Inspector 4,281,0,1,0.0
2023-01-27,Assembly B,No Defect,Morning,Inspector 3,241,0,1,0.0
2023-01-27,Assembly A,Assembly Fault,Night,Inspector 4,147,12,0,8.16
2023-01-28,Sub-System Z,Material Flaw,Night,Inspector 4,79,6,0,7.59
2023-01-28,Assembly B,No Defect,Morning,Inspector 3,242,0,1,0.0
2023-01-28,Assembly B,No Defect,Night,Inspector 2,226,0,1,0.0
2023-01-28,Component Y,Surface Defect,Afternoon,Inspector 2,114,4,0,3.51
2023-01-29,Assembly B,Dimensional Error,Morning,Inspector 2,86,13,0,15.12
2023-01-29,Assembly B,No Defect,Morning,Inspector 1,185,0,1,0.0
2023-01-29,Assembly A,Assembly Fault,Afternoon,Inspector 2,150,4,0,2.67
2023-01-29,Component X,No Defect,Morning,Inspector 4,275,0,1,0.0
2023-01-30,Component X,No Defect,Night,Inspector 2,254,0,1,0.0
2023-01-30,Sub-System Z,Assembly Fault,Afternoon,Inspector 1,220,14,0,6.36
